Name	smiles
CHEMBL113051	CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2/C=N/OC(C)(C)C
CHEMBL1131	COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)[O-])c(C)c1C
CHEMBL1132	c1cncc([C@H]2CCC[NH2+]2)c1
CHEMBL113278	C[C@H](CCc1ccc2c(c1)OCO2)[NH2+]C[C@@H](O)c1ccc([O-])c(C(N)=O)c1
CHEMBL113313	C[N@@H+]1N=C2CC[N@@H+](C(=O)[C@@H](COCc3ccccc3)NC(=O)C(C)(C)[NH3+])C[C@@]2(Cc2ccccc2)C1=O
CHEMBL1135	C[NH+](C)CCO
CHEMBL1138	O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc([O-])cc2)[N@H+]1c1ccc(F)cc1
CHEMBL114	CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2C[N@@H+]1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1
CHEMBL1140	NC(=O)c1cccnc1
CHEMBL11417	COC1=C([NH3+])C(=O)c2nc(-c3nc(C(=O)[O-])c(C)c(-c4ccc(OC)c(OC)c4[O-])c3N)ccc2C1=O
CHEMBL114283	Nc1ccc2c(c1)CN1C(=O)c3ccccc3C1=[NH+]2
CHEMBL114325	CCCCC[NH+](CCCCC)C(=O)[C@@H](CCC(=O)[O-])NC(=O)c1ccc2ccccc2c1
CHEMBL114395	O=C(CCCCCl)[N-][N-]C(=O)[N@@H+]1Cc2ccccc2Oc2ccc(Cl)cc21
CHEMBL114551	CC(=[NH2+])NCCSCC[C@H]([NH3+])C(=O)[O-]
CHEMBL114586	NC(=[NH2+])c1ccc2cc(OC(=O)c3ccc(NC4=[NH+]CCN4)cc3)ccc2c1
CHEMBL1146	Cn1nnnc1SCC1=C(C(=O)[O-])[N@H+]2C(=O)[C@@H](NC(=O)[C@H](O)c3ccccc3)[C@H]2SC1
CHEMBL114655	C[C@@H](CCc1ccccc1)[NH2+][C@H](C)[C@@H](O)c1ccc([O-])cc1
CHEMBL114715	NC(=[NH2+])NCCCNC(=O)[C@@H]1CCCC[N@@H+]1C(=O)[C@@H](CC1CCCCC1)[NH2+]CC(=O)[O-]
CHEMBL1148	Cc1cccc(Nc2ccncc2S(=O)(=O)[N-]C(=O)[NH2+]C(C)C)c1
CHEMBL1149	C[N+](C)(C)C[C@H](O)CC(=O)[O-]
CHEMBL115	CC(C)(C)NC(=O)[C@@H]1C[N@H+](Cc2cccnc2)CC[N@H+]1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O
CHEMBL1152	CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
CHEMBL115653	C[N@H+]1C(=O)[N@H+](C[C@H](C(=O)NO)[C@@H](CC2CCCC2)C(=O)[NH+]2CCCCC2)C(=O)C1(C)C
CHEMBL115794	C[C@@H]1CO[C@@](O)(c2cc(F)cc(F)c2)[C@H](C)[NH2+]1
CHEMBL1158	Cn1c(=O)[n-]c2ncn(C)c2c1=O
CHEMBL1159	C[C@@H](N/C(Nc1ccncc1)=[NH+]\C#N)C(C)(C)C
CHEMBL1159650	CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
CHEMBL1159662	O[C@@H]1[C@H](O)[C@H](O)CO[C@H]1O
CHEMBL1159715	CC(C)(C)[NH2+]C[C@H](O)c1ccc([O-])c([O-])c1
CHEMBL1159717	CC(C)(C)[NH2+]C[C@H](O)c1ccccc1Cl
CHEMBL1159892	CC(C)[NH2+]C[C@@H](O)COc1ccccc1C1CC1
CHEMBL116	CC(C)C[N@H+](C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1
CHEMBL1160714	CC(C)[NH2+]C[C@H](O)COc1ccc([O-])cc1
CHEMBL1160723	CC(C)[NH2+]C[C@H](O)c1ccc([O-])c([O-])c1
CHEMBL11608	[NH3+]CCc1ccc([O-])cc1
CHEMBL1161	C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)CCl
CHEMBL1162	C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C
CHEMBL1162496	C[C@H](O)CC(=O)[O-]
CHEMBL1163	COC(=O)N[C@H](C(=O)[N-]N(Cc1ccc(-c2ccccn2)cc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C
CHEMBL116315	COc1ccc(C[NH2+]C[C@@H](O)COc2ccc3[n-]c(=O)ccc3c2)cc1OC
CHEMBL1163488	CC[C@@]12C=C(C(=O)OC)n3c4c(c5ccccc53)CC[N@H+](CCC1)[C@H]42
CHEMBL116368	C[C@@H]1CC(=O)[N-]N=C1c1ccc(NC(=O)[C@@H](C)Cl)cc1
CHEMBL116438	COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc([O-])c(OC)c2)ccc1[O-]
CHEMBL1164729	Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)[O-]
